zPosition, Void, BoronCon, Pressure, TempVap, TempLiq, TempFuelC, TempStru, VelzVap, VelzLiq, Time
 3.1100E-02, 9.9180E-06, 0.0000E+00, 7.2251E+06, 2.8798E+02, 2.7358E+02, 6.8094E+02, 2.9836E+02, 1.2945E+00, 1.2945E+00, 5.3965E+01
 9.3300E-02, 9.8346E-06, 0.0000E+00, 7.2246E+06, 2.8797E+02, 2.7711E+02, 6.8074E+02, 2.9809E+02, 1.3054E+00, 1.3054E+00, 5.3965E+01
 1.5550E-01, 9.7495E-06, 0.0000E+00, 7.2240E+06, 2.8797E+02, 2.8060E+02, 6.8044E+02, 2.9769E+02, 1.3168E+00, 1.3168E+00, 5.3965E+01
 2.1770E-01, 9.6630E-06, 0.0000E+00, 7.2235E+06, 2.8796E+02, 2.8403E+02, 6.7999E+02, 2.9709E+02, 1.3285E+00, 1.3285E+00, 5.3965E+01
 2.7990E-01, 6.0701E-02, 0.0000E+00, 7.2230E+06, 2.8796E+02, 2.8639E+02, 6.7956E+02, 2.9652E+02, 1.4578E+00, 1.3796E+00, 5.3965E+01
 3.4210E-01, 1.6571E-01, 0.0000E+00, 7.2223E+06, 2.8795E+02, 2.8749E+02, 6.7929E+02, 2.9616E+02, 1.7330E+00, 1.5101E+00, 5.3965E+01
 4.0430E-01, 2.6318E-01, 0.0000E+00, 7.2216E+06, 2.8795E+02, 2.8793E+02, 6.7916E+02, 2.9599E+02, 2.0672E+00, 1.6925E+00, 5.3965E+01
 4.6650E-01, 3.4761E-01, 0.0000E+00, 7.2209E+06, 2.8794E+02, 2.8795E+02, 6.7915E+02, 2.9598E+02, 2.4373E+00, 1.8926E+00, 5.3965E+01
 5.2870E-01, 4.1455E-01, 0.0000E+00, 7.2201E+06, 2.8793E+02, 2.8794E+02, 6.7915E+02, 2.9598E+02, 2.8020E+00, 2.0957E+00, 5.3965E+01
 5.9090E-01, 4.6882E-01, 0.0000E+00, 7.2192E+06, 2.8792E+02, 2.8793E+02, 6.7914E+02, 2.9597E+02, 3.1509E+00, 2.2922E+00, 5.3965E+01
 6.5310E-01, 5.1400E-01, 0.0000E+00, 7.2183E+06, 2.8792E+02, 2.8792E+02, 6.7914E+02, 2.9597E+02, 3.4906E+00, 2.4827E+00, 5.3965E+01
 7.1530E-01, 5.5237E-01, 0.0000E+00, 7.2174E+06, 2.8791E+02, 2.8791E+02, 6.7914E+02, 2.9596E+02, 3.8238E+00, 2.6685E+00, 5.3965E+01
 7.7750E-01, 5.8547E-01, 0.0000E+00, 7.2164E+06, 2.8790E+02, 2.8790E+02, 6.7913E+02, 2.9596E+02, 4.1522E+00, 2.8506E+00, 5.3965E+01
 8.3970E-01, 6.1440E-01, 0.0000E+00, 7.2153E+06, 2.8789E+02, 2.8789E+02, 6.7913E+02, 2.9596E+02, 4.4767E+00, 3.0296E+00, 5.3965E+01
 9.0190E-01, 6.3994E-01, 0.0000E+00, 7.2142E+06, 2.8788E+02, 2.8788E+02, 6.7913E+02, 2.9595E+02, 4.7982E+00, 3.2059E+00, 5.3965E+01
 9.6410E-01, 6.6270E-01, 0.0000E+00, 7.2131E+06, 2.8787E+02, 2.8787E+02, 6.7912E+02, 2.9595E+02, 5.1171E+00, 3.3800E+00, 5.3965E+01
 1.0263E+00, 6.8313E-01, 0.0000E+00, 7.2119E+06, 2.8786E+02, 2.8786E+02, 6.7912E+02, 2.9594E+02, 5.4339E+00, 3.5520E+00, 5.3965E+01
 1.0885E+00, 7.0161E-01, 0.0000E+00, 7.2107E+06, 2.8784E+02, 2.8785E+02, 6.7912E+02, 2.9594E+02, 5.7490E+00, 3.7224E+00, 5.3965E+01
 1.1507E+00, 7.1840E-01, 0.0000E+00, 7.2094E+06, 2.8783E+02, 2.8784E+02, 6.7911E+02, 2.9593E+02, 6.0625E+00, 3.8911E+00, 5.3965E+01
 1.2129E+00, 7.3374E-01, 0.0000E+00, 7.2081E+06, 2.8782E+02, 2.8782E+02, 6.7911E+02, 2.9592E+02, 6.3747E+00, 4.0585E+00, 5.3965E+01
 1.2751E+00, 7.4783E-01, 0.0000E+00, 7.2067E+06, 2.8781E+02, 2.8781E+02, 6.7910E+02, 2.9592E+02, 6.6858E+00, 4.2247E+00, 5.3965E+01
 1.3373E+00, 7.6082E-01, 0.0000E+00, 7.2053E+06, 2.8779E+02, 2.8780E+02, 6.7910E+02, 2.9591E+02, 6.9959E+00, 4.3897E+00, 5.3965E+01
 1.3995E+00, 7.7284E-01, 0.0000E+00, 7.2038E+06, 2.8778E+02, 2.8778E+02, 6.7909E+02, 2.9590E+02, 7.3050E+00, 4.5537E+00, 5.3965E+01
 1.4617E+00, 7.8397E-01, 0.0000E+00, 7.2023E+06, 2.8776E+02, 2.8777E+02, 6.7909E+02, 2.9590E+02, 7.6135E+00, 4.7165E+00, 5.3965E+01
 1.5239E+00, 7.9459E-01, 0.0000E+00, 7.2008E+06, 2.8775E+02, 2.8776E+02, 6.7908E+02, 2.9589E+02, 7.9203E+00, 4.8811E+00, 5.3965E+01
