zPosition, Void, BoronCon, Pressure, TempVap, TempLiq, TempFuelC, TempStru, VelzVap, VelzLiq, Time
 3.1100E-02, 9.9596E-06, 0.0000E+00, 7.2165E+06, 2.8790E+02, 2.7179E+02, 4.9717E+02, 2.9419E+02, 1.2918E+00, 1.2918E+00, 5.9830E+01
 9.3300E-02, 9.9188E-06, 0.0000E+00, 7.2160E+06, 2.8789E+02, 2.7358E+02, 4.9730E+02, 2.9434E+02, 1.2972E+00, 1.2972E+00, 5.9830E+01
 1.5550E-01, 9.8777E-06, 0.0000E+00, 7.2154E+06, 2.8789E+02, 2.7535E+02, 4.9739E+02, 2.9445E+02, 1.3026E+00, 1.3026E+00, 5.9830E+01
 2.1770E-01, 9.8362E-06, 0.0000E+00, 7.2149E+06, 2.8788E+02, 2.7711E+02, 4.9744E+02, 2.9450E+02, 1.3082E+00, 1.3082E+00, 5.9830E+01
 2.7990E-01, 9.7942E-06, 0.0000E+00, 7.2144E+06, 2.8788E+02, 2.7886E+02, 4.9745E+02, 2.9451E+02, 1.3139E+00, 1.3139E+00, 5.9830E+01
 3.4210E-01, 9.7519E-06, 0.0000E+00, 7.2138E+06, 2.8787E+02, 2.8059E+02, 4.9741E+02, 2.9446E+02, 1.3197E+00, 1.3197E+00, 5.9830E+01
 4.0430E-01, 9.7091E-06, 0.0000E+00, 7.2133E+06, 2.8787E+02, 2.8232E+02, 4.9733E+02, 2.9436E+02, 1.3255E+00, 1.3255E+00, 5.9830E+01
 4.6650E-01, 9.6659E-06, 0.0000E+00, 7.2128E+06, 2.8786E+02, 2.8403E+02, 4.9718E+02, 2.9419E+02, 1.3315E+00, 1.3315E+00, 5.9830E+01
 5.2870E-01, 9.6224E-06, 0.0000E+00, 7.2122E+06, 2.8786E+02, 2.8573E+02, 4.9696E+02, 2.9392E+02, 1.3376E+00, 1.3376E+00, 5.9830E+01
 5.9090E-01, 3.4202E-02, 0.0000E+00, 7.2117E+06, 2.8785E+02, 2.8688E+02, 4.9675E+02, 2.9367E+02, 1.4143E+00, 1.3653E+00, 5.9830E+01
 6.5310E-01, 9.3004E-02, 0.0000E+00, 7.2111E+06, 2.8785E+02, 2.8751E+02, 4.9659E+02, 2.9348E+02, 1.5566E+00, 1.4334E+00, 5.9830E+01
 7.1530E-01, 1.5527E-01, 0.0000E+00, 7.2105E+06, 2.8784E+02, 2.8782E+02, 4.9650E+02, 2.9337E+02, 1.7222E+00, 1.5281E+00, 5.9830E+01
 7.7750E-01, 2.1771E-01, 0.0000E+00, 7.2099E+06, 2.8784E+02, 2.8784E+02, 4.9648E+02, 2.9336E+02, 1.9245E+00, 1.6371E+00, 5.9830E+01
 8.3970E-01, 2.7098E-01, 0.0000E+00, 7.2092E+06, 2.8783E+02, 2.8783E+02, 4.9648E+02, 2.9336E+02, 2.1286E+00, 1.7511E+00, 5.9830E+01
 9.0190E-01, 3.1657E-01, 0.0000E+00, 7.2085E+06, 2.8782E+02, 2.8783E+02, 4.9648E+02, 2.9335E+02, 2.3226E+00, 1.8616E+00, 5.9830E+01
 9.6410E-01, 3.5628E-01, 0.0000E+00, 7.2078E+06, 2.8782E+02, 2.8782E+02, 4.9647E+02, 2.9335E+02, 2.5100E+00, 1.9684E+00, 5.9830E+01
 1.0263E+00, 3.9134E-01, 0.0000E+00, 7.2071E+06, 2.8781E+02, 2.8781E+02, 4.9647E+02, 2.9334E+02, 2.6926E+00, 2.0724E+00, 5.9830E+01
 1.0885E+00, 4.2261E-01, 0.0000E+00, 7.2063E+06, 2.8780E+02, 2.8781E+02, 4.9646E+02, 2.9334E+02, 2.8714E+00, 2.1741E+00, 5.9830E+01
 1.1507E+00, 4.5075E-01, 0.0000E+00, 7.2056E+06, 2.8780E+02, 2.8780E+02, 4.9646E+02, 2.9334E+02, 3.0473E+00, 2.2738E+00, 5.9830E+01
 1.2129E+00, 4.7626E-01, 0.0000E+00, 7.2048E+06, 2.8779E+02, 2.8779E+02, 4.9646E+02, 2.9333E+02, 3.2207E+00, 2.3719E+00, 5.9830E+01
 1.2751E+00, 4.9953E-01, 0.0000E+00, 7.2040E+06, 2.8778E+02, 2.8779E+02, 4.9645E+02, 2.9333E+02, 3.3920E+00, 2.4685E+00, 5.9830E+01
 1.3373E+00, 5.2087E-01, 0.0000E+00, 7.2031E+06, 2.8777E+02, 2.8778E+02, 4.9645E+02, 2.9332E+02, 3.5616E+00, 2.5638E+00, 5.9830E+01
 1.3995E+00, 5.4054E-01, 0.0000E+00, 7.2023E+06, 2.8776E+02, 2.8777E+02, 4.9644E+02, 2.9332E+02, 3.7296E+00, 2.6580E+00, 5.9830E+01
 1.4617E+00, 5.5863E-01, 0.0000E+00, 7.2014E+06, 2.8776E+02, 2.8776E+02, 4.9644E+02, 2.9331E+02, 3.8968E+00, 2.7508E+00, 5.9830E+01
 1.5239E+00, 5.7614E-01, 0.0000E+00, 7.2005E+06, 2.8775E+02, 2.8775E+02, 4.9644E+02, 2.9330E+02, 4.0606E+00, 2.8448E+00, 5.9830E+01
