zPosition, Void, BoronCon, Pressure, TempVap, TempLiq, TempFuelC, TempStru, VelzVap, VelzLiq, Time
 3.1100E-02, 9.9803E-06, 0.0000E+00, 7.2133E+06, 2.8787E+02, 2.7090E+02, 3.9258E+02, 2.8696E+02, 1.2904E+00, 1.2904E+00, 6.7321E+01
 9.3300E-02, 9.9604E-06, 0.0000E+00, 7.2128E+06, 2.8786E+02, 2.7179E+02, 3.9336E+02, 2.8782E+02, 1.2931E+00, 1.2931E+00, 6.7321E+01
 1.5550E-01, 9.9405E-06, 0.0000E+00, 7.2123E+06, 2.8786E+02, 2.7268E+02, 3.9412E+02, 2.8866E+02, 1.2958E+00, 1.2958E+00, 6.7321E+01
 2.1770E-01, 9.9205E-06, 0.0000E+00, 7.2117E+06, 2.8785E+02, 2.7357E+02, 3.9477E+02, 2.8936E+02, 1.2985E+00, 1.2985E+00, 6.7321E+01
 2.7990E-01, 9.9004E-06, 0.0000E+00, 7.2112E+06, 2.8785E+02, 2.7446E+02, 3.9528E+02, 2.8992E+02, 1.3013E+00, 1.3013E+00, 6.7321E+01
 3.4210E-01, 9.8802E-06, 0.0000E+00, 7.2106E+06, 2.8784E+02, 2.7535E+02, 3.9569E+02, 2.9035E+02, 1.3040E+00, 1.3040E+00, 6.7321E+01
 4.0430E-01, 9.8599E-06, 0.0000E+00, 7.2101E+06, 2.8784E+02, 2.7623E+02, 3.9602E+02, 2.9071E+02, 1.3068E+00, 1.3068E+00, 6.7321E+01
 4.6650E-01, 9.8394E-06, 0.0000E+00, 7.2096E+06, 2.8783E+02, 2.7711E+02, 3.9628E+02, 2.9100E+02, 1.3096E+00, 1.3096E+00, 6.7321E+01
 5.2870E-01, 9.8189E-06, 0.0000E+00, 7.2090E+06, 2.8783E+02, 2.7798E+02, 3.9651E+02, 2.9124E+02, 1.3125E+00, 1.3125E+00, 6.7321E+01
 5.9090E-01, 9.7983E-06, 0.0000E+00, 7.2085E+06, 2.8782E+02, 2.7886E+02, 3.9669E+02, 2.9144E+02, 1.3153E+00, 1.3153E+00, 6.7321E+01
 6.5310E-01, 9.7776E-06, 0.0000E+00, 7.2080E+06, 2.8782E+02, 2.7973E+02, 3.9684E+02, 2.9160E+02, 1.3182E+00, 1.3182E+00, 6.7321E+01
 7.1530E-01, 9.7567E-06, 0.0000E+00, 7.2074E+06, 2.8781E+02, 2.8059E+02, 3.9696E+02, 2.9173E+02, 1.3211E+00, 1.3211E+00, 6.7321E+01
 7.7750E-01, 9.7358E-06, 0.0000E+00, 7.2069E+06, 2.8781E+02, 2.8146E+02, 3.9705E+02, 2.9183E+02, 1.3241E+00, 1.3241E+00, 6.7321E+01
 8.3970E-01, 9.7147E-06, 0.0000E+00, 7.2064E+06, 2.8780E+02, 2.8232E+02, 3.9712E+02, 2.9190E+02, 1.3270E+00, 1.3270E+00, 6.7321E+01
 9.0190E-01, 9.6936E-06, 0.0000E+00, 7.2058E+06, 2.8780E+02, 2.8318E+02, 3.9716E+02, 2.9194E+02, 1.3300E+00, 1.3300E+00, 6.7321E+01
 9.6410E-01, 9.6723E-06, 0.0000E+00, 7.2053E+06, 2.8779E+02, 2.8403E+02, 3.9717E+02, 2.9196E+02, 1.3331E+00, 1.3331E+00, 6.7321E+01
 1.0263E+00, 9.6509E-06, 0.0000E+00, 7.2048E+06, 2.8779E+02, 2.8489E+02, 3.9715E+02, 2.9194E+02, 1.3361E+00, 1.3361E+00, 6.7321E+01
 1.0885E+00, 9.6294E-06, 0.0000E+00, 7.2043E+06, 2.8778E+02, 2.8573E+02, 3.9710E+02, 2.9188E+02, 1.3392E+00, 1.3392E+00, 6.7321E+01
 1.1507E+00, 1.1621E-03, 0.0000E+00, 7.2037E+06, 2.8778E+02, 2.8656E+02, 3.9702E+02, 2.9178E+02, 1.3430E+00, 1.3430E+00, 6.7321E+01
 1.2129E+00, 1.7974E-02, 0.0000E+00, 7.2032E+06, 2.8777E+02, 2.8715E+02, 3.9692E+02, 2.9167E+02, 1.3928E+00, 1.3573E+00, 6.7321E+01
 1.2751E+00, 4.7018E-02, 0.0000E+00, 7.2027E+06, 2.8777E+02, 2.8752E+02, 3.9684E+02, 2.9159E+02, 1.4705E+00, 1.3897E+00, 6.7321E+01
 1.3373E+00, 8.2132E-02, 0.0000E+00, 7.2021E+06, 2.8776E+02, 2.8774E+02, 3.9678E+02, 2.9152E+02, 1.5432E+00, 1.4358E+00, 6.7321E+01
 1.3995E+00, 1.2305E-01, 0.0000E+00, 7.2015E+06, 2.8776E+02, 2.8776E+02, 3.9677E+02, 2.9151E+02, 1.6413E+00, 1.4934E+00, 6.7321E+01
 1.4617E+00, 1.6008E-01, 0.0000E+00, 7.2009E+06, 2.8775E+02, 2.8776E+02, 3.9677E+02, 2.9151E+02, 1.7540E+00, 1.5564E+00, 6.7321E+01
 1.5239E+00, 1.9469E-01, 0.0000E+00, 7.2003E+06, 2.8775E+02, 2.8775E+02, 3.9676E+02, 2.9150E+02, 1.8588E+00, 1.6191E+00, 6.7321E+01
